Day,Date,Layer,Name,Tags,Latitude,Longitude,SearchQuery,Notes
D3,Wed 7 Oct,5 · Rain & cold fallbacks,Lecco museums — Villa Manzoni & Palazzo delle Paure,#rain #indoor #EUR6 #d3,45.8497,9.3878,Villa Manzoni Lecco,"D3 local rain option. EUR6 each. Villa Manzoni is the family home of the man who wrote Italy's national novel about THIS shore. Lecco's Wednesday market (Piazza Garibaldi, 07:30-14:00) is thin in heavy rain."
D4,Thu 8 Oct,2 · Main plan — sights & hikes,Bergamo Citta Alta — Piazza Vecchia,#sight #town #lunch #ztl #d4,45.7038,9.6626,Piazza Vecchia Bergamo,"D4 lunch stop, directly on the A4. Funicular up ~EUR3 return, every 5-10 min. Eat casoncelli alla bergamasca. NEVER drive up — hard ZTL plus Lombardy emissions rules."
D4,Thu 8 Oct,3 · Parking,Piazzale Cappello degli Alpini — Monte Barro,#parking #free #trailhead #d4,45.8327,9.3676,Parco Monte Barro Galbiate,D4. Free weekday parking right at the trailhead. The EUR5 shuttle from the Fornace lot only runs on busy weekends.
D4,Thu 8 Oct,3 · Parking,Eremo di Monte Barro — free parking + view,#parking #free #noeffortview #d4,45.8339,9.3661,Eremo di Monte Barro,"D4. 14th-c. hermitage with a restaurant and terrace, drivable. The panorama with zero walking if you're short on time."
D4,Thu 8 Oct,3 · Parking,Fiera di Bergamo — 300 FREE spaces,#parking #free #parkandride #d4,45.6885,9.6995,Fiera di Bergamo parcheggio,"D4. 300 free spaces, served by bus line 1 into the centre. The cheap answer for Bergamo. CONFIRMED from the operator."
D4,Thu 8 Oct,3 · Parking,"Ex Bonini — free P+R, Via San Bernardino 149",#parking #free #parkandride #d4,45.6893,9.6598,Via San Bernardino 149 Bergamo,"D4. ~150 spaces, bus line 6. Second free option for Bergamo."
D4,Thu 8 Oct,3 · Parking,Bergamo funicular base — Viale Vittorio Emanuele II,#funicular #EUR3return #d4,45.6983,9.665,Funicolare Bergamo Alta stazione bassa,"D4. Where the funicular to Citta Alta starts. ~EUR1.50 single / EUR3 return, every 5-10 min, runs 06:00 to past midnight."
D4,Thu 8 Oct,3 · Parking,Paid garages — Ex Gasometro / Baschenis / Stadio,#parking #paid #24h #d4,45.696,9.672,Parcheggio Ex Gasometro Bergamo,"D4 paid, closer in. Ex Gasometro (312 spaces), Via Baschenis (71), underground Stadio Atalanta at Piazzale Goisis (348, MAX HEIGHT 2.20 m). All open 24/7."
D5,Fri 9 Oct,1 · Bases & hotels,The Oswald Grand Hotel — Selva di Val Gardena,#hotel #d4-d8 #confirm #d5,46.556,11.759,The Oswald Grand Hotel Selva di Val Gardena,"Nights 8-12 Oct. PIN IS APPROXIMATE — confirm the exact address, and ask about the Selva restricted-traffic zone and plate registration."
D5,Fri 9 Oct,4 · Food & drink,Nives — Selva village square,#food #openyearround #safebet #d5,46.5556,11.7597,Ristorante Nives Selva di Val Gardena,"CONFIRMED OPEN YEAR-ROUND, which in this valley in October is not a small thing. South Tyrolean + Mediterranean, homemade pasta. +39 0471 773329."
D5,Fri 9 Oct,2 · Main plan — sights & hikes,Seceda — the ridge,#hike #view #weatherdependent #d5 #d5,46.6081,11.6503,Seceda,"D5. THE most weather-dependent day of the trip — in cloud you pay for fog. Ridge walk 8.9 km, +575 m, 3-3.5h. Move it to any clear day in the block."
D5,Fri 9 Oct,2 · Main plan — sights & hikes,Col Raiser gondola — Santa Cristina (CHEAPER ROUTE),#lift #cheaper #quieter #preferred #d5,46.565,11.72,Col Raiser Santa Cristina Val Gardena,"D5 preferred start. Runs to 1 Nov, materially cheaper than the EUR74 Ortisei cable car, far quieter. From the top walk up via Pieralongia (~+400 m, 1h15-1h30) — this is the bit the closed Fermeda chairlift used to do."
D5,Fri 9 Oct,2 · Main plan — sights & hikes,Ortisei–Furnes–Seceda cable car (CLASSIC ROUTE),#lift #EUR74 #to2Nov #d5,46.5793,11.6743,Ortisei Seceda cable car,"D5 alternative. ~EUR74 return, first up 08:30. Fastest way to the famous view. Park at the station — Ortisei centre is one of the longest pedestrian zones in the Dolomites."
D5,Fri 9 Oct,2 · Main plan — sights & hikes,Rifugio Firenze / Regensburgerhutte,#hut #lunch #closes12Oct #d5,46.5928,11.7043,Rifugio Firenze Regensburger Hutte,D5 lunch. CLOSES 12 OCTOBER — one of your last chances. Service 11:30-15:00. Reachable ~25 min on path 4 from the top of Col Raiser.
D5,Fri 9 Oct,6 · Optional & swaps,Cristauta / Praplan — fully-on-foot Seceda start,#optional #bighike #900m #d5,46.562,11.728,Santa Cristina Val Gardena,"D5 hardcore option. Trail 4 up to the ridge — but with FERMEDA CLOSED it's a +900-1,000 m climb with no shortcut. Real, but a big first day in the mountains."
D5,Fri 9 Oct,5 · Rain & cold fallbacks,"Otzi — South Tyrol Museum of Archaeology, Bolzano",#rain #indoor #bestwetday #d5,46.4991,11.351,Museo Archeologico Alto Adige Bolzano Otzi,"THE best wet-weather destination of the whole trip, ~50 min down the valley from Selva. The 5,300-year-old iceman found in a glacier up the road. Use it for whichever Val Gardena day is a write-off. Bolzano also has the arcaded Portici and the Duomo."
D5,Fri 9 Oct,5 · Rain & cold fallbacks,"Vallunga — flat, low, forested, fine in drizzle",#rain #easyhike #25h #d5,46.559,11.781,Vallunga Selva di Val Gardena,"Val Gardena drizzle option, straight from Selva. Flat gravel track up a glacier-carved valley under the Puez walls, 2.5h return, larches everywhere. Pay-and-display at Parcheggio Vallunga. Also the D8 slow-morning fallback."
D6,Sat 10 Oct,4 · Food & drink,Abbazia di Novacella — monastery + winery,#food #wine #indoor #rainplan #d6,46.735,11.648,Abbazia di Novacella Neustift,"Augustinian monastery with a rotunda library, baroque church AND its own winery doing tastings. Historic, indoors, wine — arguably a better rainy morning than the hike is a sunny one."
D6,Sat 10 Oct,4 · Food & drink,Cantina Tramin — Termeno,#wine #nobooking #closedSun #d6,46.34,11.24,Cantina Tramin Termeno,"One of Italy's best co-ops in a striking modern building. Tastings in the wine shop WITHOUT booking, Sat 09:00-17:00, closed Sunday. An hour south — hard to combine with Val di Funes."
D6,Sat 10 Oct,2 · Main plan — sights & hikes,Adolf Munkel Weg — Zannes/Zans trailhead,#hike #9km #378m #parkingbooking #d6,46.6355,11.707,Zannes Val di Funes,"D6 morning. 9.2 km circuit, +378 m, 3-3.5h, easy-moderate, along the base of the Odle north wall. ZANNES CAR PARK MAY NEED AN ONLINE BOOKING IN 2026 — check before driving up."
D6,Sat 10 Oct,2 · Main plan — sights & hikes,Chiesa di Santa Maddalena — Val di Funes,#sight #photo #walkonly #d6,46.642,11.6997,Santa Maddalena Val di Funes,D6. The most photographed building in South Tyrol. NON-RESIDENT CARS ARE BARRED from the panorama viewpoint May-Nov — park in the village and walk 20-30 min.
D6,Sat 10 Oct,2 · Main plan — sights & hikes,Torggelen — Villandro / Villanders,#food #highlight #booknow #rainproof #d6,46.63,11.54,Villandro Villanders Alto Adige,"D6 afternoon, 15 min from Zannes. Certified farms: Oberpartegger, Winklerhof, Pschnickerhof — linked by walking trails. PHONE AHEAD: season nominally starts early Oct but many farms open mid-month. Indoors = rain-proof."
D6,Sat 10 Oct,6 · Optional & swaps,Geisler Alm / Rifugio delle Odle,#optional #hut #maybeclosed #d6,46.63,11.7,Geisler Alm Rifugio delle Odle Villnoss,"D6. You flagged this as a 'no go' — I'd push back gently. It's directly ON the Adolf Munkel Weg, so you pass its door regardless. The busy/commercial complaint is a high-summer problem. THE REAL RISK IS THAT IT'S SHUT — October season unverified."
D6,Sat 10 Oct,3 · Parking,Zannes / Zans car park — Val di Funes,#parking #maybebooking #check #d6,46.6355,11.707,Parkplatz Zans Villnoss,D6. PRE-BOOKABLE ONLINE IN 2026 — check whether Sat 10 Oct needs a reservation before you drive up.
D7,Sun 11 Oct,2 · Main plan — sights & hikes,Forcella Sassolungo 'coffin' gondola — Passo Sella,#lift #closes11Oct #datecritical #d7,46.5093,11.7595,Forcella Sassolungo cable car Passo Sella,"D7, 09:30. CLOSES 11 OCTOBER — you cross this pass on the 12th, one day too late. Two-person standing cabins that never stop; 5 min up to Rifugio Toni Demetz at 2,681 m. Date is single-sourced — VERIFY EARLY. Wind can hold it even in clear weather."
D7,Sun 11 Oct,2 · Main plan — sights & hikes,Alpe di Siusi / Compatsch,#hike #meadow #easy #45h #d7,46.54,11.62,Compatsch Alpe di Siusi,"D7 afternoon. Up to 14.4 km, +483 m, 4.5h, easy. Europe's largest high meadow. Best in low afternoon light. Open huts: Sassopiatto (to 18 Oct), Alpe di Tires (to 19 Oct), Schgaguler (to 1 Nov)."
D7,Sun 11 Oct,2 · Main plan — sights & hikes,Mont Seuc gondola — Ortisei (use this one on D7),#lift #to2Nov #dontdriveup #d7,46.574,11.676,Ortisei Alpe di Siusi cable car,"D7. Runs to 2 Nov, and it's the side you arrive from after Passo Sella. DON'T DRIVE UP to Compatsch — road closed to non-residents 09:00-17:00 and parking needs an online reservation."
D7,Sun 11 Oct,3 · Parking,Passo Sella — free parking,#parking #free #d7,46.5088,11.7622,Passo Sella parcheggio,"D7 and D8. Free parking at the pass, at the foot of the coffin gondola. 20 min from Selva."
D7,Sun 11 Oct,5 · Rain & cold fallbacks,Terme Merano — the cold/wet Sunday answer,#rain #spa #thermal #romantic #d7,46.6688,11.1607,Terme Merano Therme Meran,"D7 RAIN PLAN, ~1h15 from Selva. Large thermal complex, indoor AND outdoor pools, big sauna world. Being outside in hot water in cold rain is not a consolation prize. Merano has covered arcades and the Kurhaus too."
D8,Mon 12 Oct,1 · Bases & hotels,B&B Hotel Passo Tre Croci — Cortina,#hotel #d8-d12 #1805m #d8,46.573,12.19,B&B Hotel Passo Tre Croci Cortina,"Nights 12-16 Oct, at 1,805 m. The Lago di Sorapis trailhead is at the door. Hard frost most nights. Ask them about trail 215 ice conditions."
D8,Mon 12 Oct,4 · Food & drink,El Brite de Larieto — on the Tre Croci road,#food #booknow #closedWed #d8,46.562,12.172,El Brite de Larieto Cortina,"D8 dinner, effectively on your doorstep. Agriturismo with its own dairy. Open until late October, CLOSED WEDNESDAYS. Book: +39 368 7008083."
D8,Mon 12 Oct,2 · Main plan — sights & hikes,Lago di Carezza / Karersee,#lake #photo #goearly #20min #d8,46.409,11.576,Lago di Carezza Karersee,"D8, ~09:30. Emerald lake reflecting the Latemar. Paid car park on the SS241 with an underpass to the shore; boardwalk loop 20-30 min. GO EARLY — you need still water, and the coaches arrive late morning. No swimming, no going to the water's edge."
D8,Mon 12 Oct,2 · Main plan — sights & hikes,Canazei — Val di Fassa,#town #coffee #lunch #d8,46.477,11.769,Canazei Val di Fassa,"D8, ~11:00. Main town of the Ladin Val di Fassa, at the hub of the four great passes. Coffee and lunch stop. Sass Pordoi cable car almost certainly closed by now."
D8,Mon 12 Oct,6 · Optional & swaps,"Segra Sacun market — Ortisei, 12 Oct only",#optional #fallback #d8 #d8,46.576,11.672,Ortisei Sankt Ulrich centro,"D8 FALLBACK, 08:00-16:00. The biggest traditional market of the year — food stalls, crafts, and a tradition of men giving women a decorated pear. CLASHES with the 08:00 Great Dolomites Road start; you can't have both. Take it if you want a slow morning or it rains."
D8,Mon 12 Oct,3 · Parking,Lago di Carezza car park — SS241,#parking #paid #d8,46.4085,11.5735,Parcheggio Lago di Carezza,"D8. Paid pay-and-display on the SS241, with an underpass to the lake shore."
D8,Mon 12 Oct,7 · Passes & drive stops,"Passo Sella — 2,244 m",#pass #2244m #d7 #d8 #d8,46.5088,11.7622,Passo Sella,"Crossed twice: D7 for the coffin gondola, D8 on the Great Dolomites Road. Sassolungo fills the windscreen the whole way up. 20 min from Selva. Free parking."
D8,Mon 12 Oct,7 · Passes & drive stops,"Passo Pordoi — 2,239 m",#pass #2239m #d8 #d8,46.488,11.813,Passo Pordoi,"D8, ~12:45. Sass Pordoi cable car above it almost certainly closed by mid-October — bonus, not a plan."
D8,Mon 12 Oct,7 · Passes & drive stops,"Passo Falzarego — 2,105 m",#pass #2105m #lagazuoi #d8,46.519,12.009,Passo Falzarego,"D8 and D11. Free parking, and the base of the Lagazuoi cable car — the only lift still running in Cortina. Kept open through winter, so October is never in doubt."
D8,Mon 12 Oct,7 · Passes & drive stops,"Passo Gardena — 2,121 m (short route + sunset)",#pass #2121m #sunset #shortroute #d8,46.547,11.818,Passo Gardena,"The short-route alternative for D8. Also the best zero-effort sunset of the Val Gardena leg — Sassolungo framed by golden larches, 15 min from Selva."
D8,Mon 12 Oct,7 · Passes & drive stops,Passo Campolongo / Arabba — short route,#pass #shortroute #d8,46.497,11.872,Arabba Livinallongo,"On the short pass route (Gardena - Corvara - Campolongo - Arabba - Falzarego, 85 km, 2h45), the fallback if you skip Carezza and Canazei."
D8,Mon 12 Oct,7 · Passes & drive stops,Valley fallback — Val Pusteria via Dobbiaco,#badweather #fallbackroute #2h20 #d8,46.735,12.222,Dobbiaco Toblach,"D8 SNOW FALLBACK. Ponte Gardena - A22 - Val Pusteria - Dobbiaco - SS51. 145 km, ~2h20 — actually FASTER on the clock than the passes, just far less beautiful. Check venetostrade.it and the Bolzano traffic portal that morning."
D8,Mon 12 Oct,5 · Rain & cold fallbacks,Brunico / Bruneck — Messner Mountain Museum Ripa,#rain #indoor #checkhours #d8,46.796,11.937,Messner Mountain Museum Ripa Brunico,"D8 RAIN PLAN, on the valley fallback route. Handsome market town; the castle holds MMM Ripa, on the mountain peoples of the world. CHECK OCTOBER HOURS."
D9,Tue 13 Oct,2 · Main plan — sights & hikes,Lago di Braies / Pragser Wildsee,#lake #before9am #noreservation #d9,46.695,12.085,Lago di Braies Pragser Wildsee,"D9, arrive ~08:00. Sunrise 07:26 — leave the hotel at 07:00. Still water, empty boathouse, coaches still an hour out. Shore loop 3.5 km flat, ~1h. NO RESERVATION NEEDED IN OCTOBER (that system runs 1 Jul-15 Sep). Survives mist well."
D9,Tue 13 Oct,2 · Main plan — sights & hikes,Tre Cime di Lavaredo — Rifugio Auronzo,#hike #EUR40 #prebook #best #d9,46.613,12.296,Rifugio Auronzo Tre Cime di Lavaredo,"D9. BOOK THE SLOT at pass.auronzo.info — EUR40/car, plate required, 12h validity, autumn access ~08:00-18:00. Loop 8.8-10 km, +425 m, 3-4h anticlockwise. ~700 spaces at the rifugio."
D9,Tue 13 Oct,2 · Main plan — sights & hikes,Cadini di Misurina viewpoint,#hike #easy #exposed #dryonly #d9,46.605,12.29,Cadini di Misurina viewpoint,"D9, add-on. 3.9 km, +144 m, 1-1.5h on trail 117 from Rifugio Auronzo. THE FINAL SPUR IS A NARROW, EXPOSED PATH ON A ROCK NOSE — dry conditions only, skip it if there's frost or fresh snow."
D9,Tue 13 Oct,2 · Main plan — sights & hikes,"Rifugio Locatelli — CLOSED, no food or shelter",#closed #warning #d9,46.625,12.308,Rifugio Locatelli Dreizinnenhutte,"D9. CLOSED for the season. It sits at the far side of the Tre Cime loop, so there is no food, water or shelter for the middle two-thirds. Wind at Forcella Lavaredo is brutal in October — carry everything."
D9,Tue 13 Oct,6 · Optional & swaps,Lago di Misurina — 10-minute stop,#optional #photo #ontheway #d9,46.583,12.253,Lago di Misurina,D9. Directly on the Tre Cime road and you pass it twice — take whichever light is better. The Grand Hotel Misurina reflected with the Sorapis group behind. Col de Varda chairlift closed 20 Sep.
D9,Tue 13 Oct,3 · Parking,Tre Cime toll gate — Misurina,#parking #EUR40 #prebook #d9,46.59,12.265,Misurina Tre Cime toll road,"D9. EUR40 per car, PRE-BOOKED ONLINE ONLY at pass.auronzo.info. Plate required, ticket valid 12h. 5 km up to Rifugio Auronzo from here."
D9,Tue 13 Oct,3 · Parking,Lago di Braies — lakehead parking,#parking #paid #noreservationOct #d9,46.696,12.087,Parkplatz Pragser Wildsee,D9. Paid pay-and-display at the lakehead. No reservation needed in October.
D9,Tue 13 Oct,5 · Rain & cold fallbacks,San Candido / Innichen — church + Acquafun pool,#rain #indoor #pool #checkhours #d9,46.733,12.279,San Candido Innichen Acquafun,"D9 RAIN PLAN — bail north instead of east. Beautiful Romanesque collegiate church, and Acquafun indoor pool/wellness centre. CHECK HOURS. Save the EUR40 and book Tre Cime for another day — this is exactly why you don't book it early."
D9,Tue 13 Oct,5 · Rain & cold fallbacks,Dobbiaco / Toblach — Mahler & cultural centre,#rain #indoor #d9,46.735,12.222,Dobbiaco Toblach,"D9 rain option, on the way back from Braies. Gustav Mahler composed here; the Grand Hotel is now a cultural centre."
D10,Wed 14 Oct,4 · Food & drink,"SanBrite — Michelin star, 'agricucina'",#food #michelin #splurge #callfirst #d10,46.55,12.15,SanBrite Cortina d'Ampezzo,"Everything from the family farm, own cheese dairy. Tasting EUR90-120. Sister to El Brite, 10 min from Passo Tre Croci. CALL +39 0436 863882 to confirm October opening."
D10,Wed 14 Oct,4 · Food & drink,Baita Fraina — above Cortina,#food #dinner #d10 #d10,46.548,12.16,Baita Fraina Cortina,"D10 dinner (El Brite is closed Wednesdays). Mountain-lodge regional cooking in small panelled rooms, Michelin Guide listed."
D10,Wed 14 Oct,2 · Main plan — sights & hikes,Lago Federa / Croda da Lago,#hike #larches #hutlunch #rainok #d10,46.5006,12.0787,Lago Federa Rifugio Croda da Lago,"D10. THE most famous larch location in the Dolomites, 2,046 m. Rifugio Croda da Lago / Palmieri is the most reliable hut lunch of the Cortina leg — call +39 0436 862085. Overcast light is GOOD for larches."
D10,Wed 14 Oct,2 · Main plan — sights & hikes,Ponte de Ru Curto — Lago Federa trailhead,#trailhead #freeparking #d10,46.516,12.102,Ponte de Ru Curto Cortina,"D10 start. Free trailhead parking. 8.4 km / +469 m / 3h out-and-back, or the 13.1 km / +700 m / 5h circuit."
D10,Wed 14 Oct,6 · Optional & swaps,"Lago di Sorapis — FLEX day, from the hotel door",#flex #hike #ICERISK #microspikes #d10,46.5726,12.2264,Lago di Sorapis Passo Tre Croci,"FLEX. Trailhead is at Passo Tre Croci. 11.5 km out-and-back, ~500 m, ~4h. TRAIL 215 HAS CABLED EXPOSED LEDGES, METAL LADDERS AND POLISHED ROCK, all north/east-facing and shaded — ICED LADDERS ARE A REAL OCTOBER RISK. Rif. Vandelli closed 20 Sep: no water, shelter or toilet. Mildest driest day only, mid-morning start, CARRY MICROSPIKES, turn back if there's ice. Ask the hotel the night before."
D10,Wed 14 Oct,5 · Rain & cold fallbacks,Cortina museums — Zardini fossils & Rimoldi art,#rain #indoor #checkhours #d10,46.539,12.137,Musei delle Regole Cortina d'Ampezzo,"D10 RAIN PLAN. Museo Paleontologico Rinaldo Zardini (these mountains are a fossilised coral reef — a good thing to learn while looking at them) and the Mario Rimoldi modern art collection, both in the Ciasa de ra Regoles. Small municipal museums — CHECK OCTOBER HOURS."
D11,Thu 15 Oct,4 · Food & drink,Rifugio Ospitale — SS51 north of Cortina,#food #roadaccessible #longseason #d11,46.59,12.14,Rifugio Ospitale Cortina,"11th-century hospice turned restaurant, road-accessible, tends to have a longer season than the mountain huts. A good long-lunch answer on a wet day."
D11,Thu 15 Oct,2 · Main plan — sights & hikes,Lagazuoi cable car — Passo Falzarego,#lift #lastoneopen #to18Oct #d11,46.5192,12.0086,Passo Falzarego Lagazuoi cable car,"D11. THE ONLY LIFT STILL RUNNING in Cortina — to 18 Oct. Free parking at the pass. First up 09:00, every 15 min, LAST DOWN 17:00. Terrace lunch at 2,752 m — call +39 0436 867303."
D11,Thu 15 Oct,2 · Main plan — sights & hikes,Cinque Torri — WWI open-air museum,#hike #wwi #chairliftclosed #carryfood #d11,46.515,12.045,Cinque Torri Cortina,"D11. Restored trenches and tunnels among the five towers. CHAIRLIFT CLOSES 11 OCT and all three huts (Scoiattoli, Nuvolau, Cinque Torri) are shut — walk up from Col Gallina and carry food."
D11,Thu 15 Oct,2 · Main plan — sights & hikes,"Col Gallina — free parking, Cinque Torri trailhead",#trailhead #freeparking #d11,46.523,12.025,Col Gallina Passo Falzarego,"D11. Free parking on the SR48 opposite Ristorante da Strobel. Circuit 9.6 km, +600 m, ~3h45 via Lago di Limedes to Rif. Averau, Nuvolau and Cinque Torri. Nuvolau's final ridge is narrow with a cable."
D11,Thu 15 Oct,6 · Optional & swaps,Monte Mondeval from Passo Giau — full-day option,#optional #hike #5h #d11,46.479,12.054,Passo Giau,"D11 alternative. 12.8 km, ~5h, moderate, open and panoramic, larch-rich. A full-day substitute for the Lagazuoi/Cinque Torri pair."
D11,Thu 15 Oct,6 · Optional & swaps,Val Travenanzes descent from Lagazuoi,#optional #hike #carshuttle #d11,46.53,12.0,Val Travenanzes Cortina,"D11 alternative. Cable car up, walk down a wild hanging valley to Ponte Outo on the SR48 — 4-5h, mostly descent, some cabled steps near the forcella. NEEDS A CAR SHUTTLE."
D11,Thu 15 Oct,7 · Passes & drive stops,"Passo Giau — 2,236 m",#pass #2236m #returnloop #larches #d11,46.479,12.054,Passo Giau,"D11 return leg. Come home over Giau on the SP638 instead of retracing Falzarego — same time, makes the day a loop. Bare amphitheatre under Ra Gusela and Nuvolau; larches rivalling Lago Federa. Rifugio Fedare at the top is OPEN YEAR-ROUND."
D11,Thu 15 Oct,5 · Rain & cold fallbacks,"Forte Tre Sassi — WWI museum, Passo Valparola",#rain #indoor #ontheme #checkhours #d11,46.529,11.993,Forte Tre Sassi Passo Valparola,D11 RAIN PLAN. A restored Austro-Hungarian fort covering exactly the WWI front you'd have been walking at Cinque Torri and Lagazuoi — with a roof. Seasonal: CHECK OCTOBER HOURS.
