Name,Day,Date,Tags,Latitude,Longitude,SearchQuery,Notes
D5 · Ortisei–Furnes–Seceda cable car (CLASSIC ROUTE),D5,Fri 9 Oct,#lift #EUR74 #to2Nov #d5,46.5793,11.6743,Ortisei Seceda cable car,"D5 alternative. ~EUR74 return, first up 08:30. Fastest way to the famous view. Park at the station — Ortisei centre is one of the longest pedestrian zones in the Dolomites."
D5 · Rifugio Firenze / Regensburgerhutte,D5,Fri 9 Oct,#hut #lunch #closes12Oct #d5,46.5928,11.7043,Rifugio Firenze Regensburger Hutte,D5 lunch. CLOSES 12 OCTOBER — one of your last chances. Service 11:30-15:00. Reachable ~25 min on path 4 from the top of Col Raiser.
D6 · Adolf Munkel Weg — Zannes/Zans trailhead,D6,Sat 10 Oct,#hike #9km #378m #parkingbooking #d6,46.6355,11.707,Zannes Val di Funes,"D6 morning. 9.2 km circuit, +378 m, 3-3.5h, easy-moderate, along the base of the Odle north wall. ZANNES CAR PARK MAY NEED AN ONLINE BOOKING IN 2026 — check before driving up."
D6 · Chiesa di Santa Maddalena — Val di Funes,D6,Sat 10 Oct,#sight #photo #walkonly #d6,46.642,11.6997,Santa Maddalena Val di Funes,D6. The most photographed building in South Tyrol. NON-RESIDENT CARS ARE BARRED from the panorama viewpoint May-Nov — park in the village and walk 20-30 min.
D6 · Torggelen — Villandro / Villanders,D6,Sat 10 Oct,#food #highlight #booknow #rainproof #d6,46.63,11.54,Villandro Villanders Alto Adige,"D6 afternoon, 15 min from Zannes. Certified farms: Oberpartegger, Winklerhof, Pschnickerhof — linked by walking trails. PHONE AHEAD: season nominally starts early Oct but many farms open mid-month. Indoors = rain-proof."
D7 · Forcella Sassolungo 'coffin' gondola — Passo Sella,D7,Sun 11 Oct,#lift #closes11Oct #datecritical #d7,46.5093,11.7595,Forcella Sassolungo cable car Passo Sella,"D7, 09:30. CLOSES 11 OCTOBER — you cross this pass on the 12th, one day too late. Two-person standing cabins that never stop; 5 min up to Rifugio Toni Demetz at 2,681 m. Date is single-sourced — VERIFY EARLY. Wind can hold it even in clear weather."
D7 · Alpe di Siusi / Compatsch,D7,Sun 11 Oct,#hike #meadow #easy #45h #d7,46.54,11.62,Compatsch Alpe di Siusi,"D7 afternoon. Up to 14.4 km, +483 m, 4.5h, easy. Europe's largest high meadow. Best in low afternoon light. Open huts: Sassopiatto (to 18 Oct), Alpe di Tires (to 19 Oct), Schgaguler (to 1 Nov)."
D7 · Mont Seuc gondola — Ortisei (use this one on D7),D7,Sun 11 Oct,#lift #to2Nov #dontdriveup #d7,46.574,11.676,Ortisei Alpe di Siusi cable car,"D7. Runs to 2 Nov, and it's the side you arrive from after Passo Sella. DON'T DRIVE UP to Compatsch — road closed to non-residents 09:00-17:00 and parking needs an online reservation."
D8 · Lago di Carezza / Karersee,D8,Mon 12 Oct,#lake #photo #goearly #20min #d8,46.409,11.576,Lago di Carezza Karersee,"D8, ~09:30. Emerald lake reflecting the Latemar. Paid car park on the SS241 with an underpass to the shore; boardwalk loop 20-30 min. GO EARLY — you need still water, and the coaches arrive late morning. No swimming, no going to the water's edge."
D8 · Canazei — Val di Fassa,D8,Mon 12 Oct,#town #coffee #lunch #d8,46.477,11.769,Canazei Val di Fassa,"D8, ~11:00. Main town of the Ladin Val di Fassa, at the hub of the four great passes. Coffee and lunch stop. Sass Pordoi cable car almost certainly closed by now."
D9 · Lago di Braies / Pragser Wildsee,D9,Tue 13 Oct,#lake #before9am #noreservation #d9,46.695,12.085,Lago di Braies Pragser Wildsee,"D9, arrive ~08:00. Sunrise 07:26 — leave the hotel at 07:00. Still water, empty boathouse, coaches still an hour out. Shore loop 3.5 km flat, ~1h. NO RESERVATION NEEDED IN OCTOBER (that system runs 1 Jul-15 Sep). Survives mist well."
D9 · Tre Cime di Lavaredo — Rifugio Auronzo,D9,Tue 13 Oct,#hike #EUR40 #prebook #best #d9,46.613,12.296,Rifugio Auronzo Tre Cime di Lavaredo,"D9. BOOK THE SLOT at pass.auronzo.info — EUR40/car, plate required, 12h validity, autumn access ~08:00-18:00. Loop 8.8-10 km, +425 m, 3-4h anticlockwise. ~700 spaces at the rifugio."
D9 · Cadini di Misurina viewpoint,D9,Tue 13 Oct,#hike #easy #exposed #dryonly #d9,46.605,12.29,Cadini di Misurina viewpoint,"D9, add-on. 3.9 km, +144 m, 1-1.5h on trail 117 from Rifugio Auronzo. THE FINAL SPUR IS A NARROW, EXPOSED PATH ON A ROCK NOSE — dry conditions only, skip it if there's frost or fresh snow."
"D9 · Rifugio Locatelli — CLOSED, no food or shelter",D9,Tue 13 Oct,#closed #warning #d9,46.625,12.308,Rifugio Locatelli Dreizinnenhutte,"D9. CLOSED for the season. It sits at the far side of the Tre Cime loop, so there is no food, water or shelter for the middle two-thirds. Wind at Forcella Lavaredo is brutal in October — carry everything."
D10 · Lago Federa / Croda da Lago,D10,Wed 14 Oct,#hike #larches #hutlunch #rainok #d10,46.5006,12.0787,Lago Federa Rifugio Croda da Lago,"D10. THE most famous larch location in the Dolomites, 2,046 m. Rifugio Croda da Lago / Palmieri is the most reliable hut lunch of the Cortina leg — call +39 0436 862085. Overcast light is GOOD for larches."
D10 · Ponte de Ru Curto — Lago Federa trailhead,D10,Wed 14 Oct,#trailhead #freeparking #d10,46.516,12.102,Ponte de Ru Curto Cortina,"D10 start. Free trailhead parking. 8.4 km / +469 m / 3h out-and-back, or the 13.1 km / +700 m / 5h circuit."
D11 · Lagazuoi cable car — Passo Falzarego,D11,Thu 15 Oct,#lift #lastoneopen #to18Oct #d11,46.5192,12.0086,Passo Falzarego Lagazuoi cable car,"D11. THE ONLY LIFT STILL RUNNING in Cortina — to 18 Oct. Free parking at the pass. First up 09:00, every 15 min, LAST DOWN 17:00. Terrace lunch at 2,752 m — call +39 0436 867303."
D11 · Cinque Torri — WWI open-air museum,D11,Thu 15 Oct,#hike #wwi #chairliftclosed #carryfood #d11,46.515,12.045,Cinque Torri Cortina,"D11. Restored trenches and tunnels among the five towers. CHAIRLIFT CLOSES 11 OCT and all three huts (Scoiattoli, Nuvolau, Cinque Torri) are shut — walk up from Col Gallina and carry food."
"D11 · Col Gallina — free parking, Cinque Torri trailhead",D11,Thu 15 Oct,#trailhead #freeparking #d11,46.523,12.025,Col Gallina Passo Falzarego,"D11. Free parking on the SR48 opposite Ristorante da Strobel. Circuit 9.6 km, +600 m, ~3h45 via Lago di Limedes to Rif. Averau, Nuvolau and Cinque Torri. Nuvolau's final ridge is narrow with a cable."
D12 · Tronchetto parking — Venice,D12,Fri 16 Oct,#parking #EUR29 #maxheight210 #d12,45.443,12.301,Venezia Tronchetto Parking,"D12, arrive ~14:00. EUR29 per 24h, covered, 3,483 spaces. MAX HEIGHT 2.10 m — check your car isn't a tall SUV. Easiest arrival: you never leave the causeway. People Mover to Piazzale Roma ~EUR1.50."
D12 · Rialto market,D12,Fri 16 Oct,#market #saturday #morning #d12,45.44,12.335,Mercato di Rialto Venezia,"D13, 09:00. Saturday morning is the good one — fish, produce, noise. All'Arco is a minute away."
D14 · Grotte di Catullo — Sirmione,D14,Sun 18 Oct,#sight #roman #rainbreaks #d14,45.505,10.607,Grotte di Catullo Sirmione,"D14, 09:30. Vast Roman villa ruin in an olive grove at the tip of the peninsula, water on three sides. Go early, before the coaches. OPEN RUIN — the one thing on D14 that rain ruins."
D14 · Castello Scaligero — Sirmione,D14,Sun 18 Oct,#sight #castle #d14,45.493,10.607,Castello Scaligero Sirmione,"D14. Water-moated Scaliger castle guarding the entrance to the old town. Sirmione at night, once the day-trippers have gone, is the good version."
